CO,CID,SID,ACTIVITY,SCORE,INHIBITION,STDDEV
432,17513750,6862473,1,27,26.56,1.20206
433,17411624,2833688,1,27,26.55,0.800011
434,26661470,931812,1,27,26.52,2.11589
435,17433246,2945068,1,27,26.52,1.08319
436,22401527,15944791,1,27,26.51,0.60357
437,17504711,1136046,1,27,26.5,1.08861
438,56422552,3152781,1,27,26.49,0.95029
439,14739287,6859942,1,27,26.44,1.09505
440,50085747,4308410,1,27,26.44,0.70976
441,49668819,5731706,1,27,26.42,0.505813
442,17515757,12006135,1,27,26.39,0.897312
443,49649620,6060654,1,27,26.3,0.455582
444,51085275,2155679,1,27,26.29,1.00198
445,24791823,9649777,1,27,26.22,1.30029
446,14733523,4252281,1,27,26.21,2.51833
447,49644944,54676094,1,27,26.19,1.71214
448,17401920,7473462,1,27,26.17,1.32371
449,46500327,23640909,1,27,26.17,0.612691
450,14736804,4617025,1,27,26.17,1.5708
451,49826994,1295575,1,27,26.17,1.31276
452,26660712,3794954,1,27,26.14,0.224423
453,14728116,135431516,1,27,26.11,0.626255
454,4260592,135420404,1,27,26.04,0.980376
455,24838499,3243170,1,27,26.01,1.13577
456,85147146,44142955,1,27,25.99,0.0448386
457,4250173,5771461,1,27,25.96,0.669053
458,26732000,16746198,1,27,25.96,0.516671
459,22410990,3918318,1,27,25.92,0.150076
460,51085281,3436419,1,27,25.91,0.731098
461,26671403,135779769,1,27,25.9,0.365552
462,26732013,16746208,1,27,25.89,0.763108
463,7970829,4321359,1,27,25.88,0.755501
464,49721998,20923751,1,27,25.88,0.920607
465,7971440,3426457,1,27,25.87,0.556609
466,47199907,6470731,1,27,25.82,1.44432
467,26732023,16746218,1,27,25.81,0.420672
468,24783868,9564046,1,27,25.77,1.40874
469,17507253,3130874,1,27,25.76,0.984298
470,17513384,1392245,1,27,25.75,0.860506
471,4245703,3240143,1,27,25.71,0.413291
472,852749,135438271,1,27,25.7,0.425692
473,7971800,5310556,1,26,25.66,0.648484
474,56436666,24978591,1,26,25.63,0.251928
475,858252,659595,1,26,25.63,0.851546
476,56317951,7868862,1,26,25.61,0.740227
477,864349,665597,1,26,25.59,1.13726
478,24780863,5752755,1,26,25.55,1.47718
479,14735888,2901113,1,26,25.55,0.917308
480,17386756,1004092,1,26,25.52,0.485013
481,26732044,16746237,1,26,25.51,0.787376
482,24831744,2123516,1,26,25.51,0.51163
483,14720939,3198730,1,26,25.49,0.463907
484,46501204,53277,1,26,25.49,0.263597
485,17504656,9677314,1,26,25.44,0.435296
486,24807116,54678826,1,26,25.44,0.606273
487,22402520,4655993,1,26,25.43,0.914649
488,24791373,2090656,1,26,25.42,1.52727
489,26660014,3303130,1,26,25.41,0.652932
490,49676421,16240138,1,26,25.4,1.19678
491,26726223,6888970,1,26,25.39,0.532409
492,17505237,3231101,1,26,25.36,0.665353
493,49717203,20970623,1,26,25.36,1.29617
494,22401483,5807013,1,26,25.36,0.428708
495,24781063,135404779,1,26,25.33,1.17636
496,56315135,7793869,1,26,25.33,0.608174
497,24822632,2211690,1,26,25.33,0.713403
498,17416317,2967155,1,26,25.32,0.638895
499,863787,665043,1,26,25.32,0.3587
500,56315287,9206462,1,26,25.32,0.294402
501,17411001,2766162,1,26,25.31,0.487756
502,17431451,11979277,1,26,25.31,0.474322
503,14742280,1548458,1,26,25.28,0.47004
504,49670232,6182725,1,26,25.26,0.876352
505,49643986,2868074,1,26,25.26,1.87307
506,17388539,135490329,1,26,25.24,1.16545
507,26731995,16746193,1,26,25.23,0.578237
508,56422550,3152768,1,26,25.22,1.76787
509,24818276,1474153,1,26,25.21,1.44182
510,17515656,3314184,1,26,25.16,1.22915
511,14739791,4686761,1,26,25.15,0.406845
512,56322255,17393542,1,26,25.13,1.29672
513,47200092,6470847,1,26,25.11,0.203713
514,14733704,1917638,1,26,25.08,0.790651
515,7970230,4393476,1,26,25.06,0.616793
516,4247379,3241596,1,26,25.04,0.410743
517,14741566,6586186,1,26,25.04,1.29644
518,17412143,979778,1,26,25.01,0.32739
519,17515853,12006187,1,26,25.01,0.316752
520,49667584,135580315,1,26,25.01,0.234854
521,17408311,3207314,1,26,25,0.863876
522,14740115,1331726,1,26,24.95,1.18944
523,24839608,4883529,1,26,24.94,2.95873
524,14733070,9550368,1,26,24.94,1.88112
525,49727557,24792442,1,26,24.93,1.09215
526,49674571,2125555,1,26,24.87,0.944574
527,51088046,3244099,1,26,24.79,1.11905
528,26660736,135549654,1,26,24.78,0.367852
529,7971574,2156259,1,26,24.77,1.32767
530,17388526,135490325,1,26,24.76,0.964024
531,24827167,3583690,1,25,24.71,1.45714
532,57262661,4844009,1,25,24.67,0.320473
533,85146520,44142380,1,25,24.64,1.2814
534,26732018,16746213,1,25,24.62,0.424191
535,26732046,16746239,1,25,24.58,0.332968
536,49823841,24818595,1,25,24.56,1.38067
537,49819754,4902571,1,25,24.53,0.202076
538,14731922,1477791,1,25,24.53,0.697577
539,26731988,16746187,1,25,24.5,0.932331
540,17506799,2226129,1,25,24.41,1.88935
541,17408803,9591967,1,25,24.4,0.0786312
542,24803384,2928736,1,25,24.39,0.800374
543,17432620,135425035,1,25,24.39,0.967752
544,49642590,750186,1,25,24.36,1.87894
545,14728350,135431512,1,25,24.36,1.1022
546,17515878,12006202,1,25,24.36,0.901551
547,49824933,6236937,1,25,24.36,0.748707
548,24787779,1547875,1,25,24.35,1.02472
549,24822260,1487346,1,25,24.35,0.836687
550,17410932,995141,1,25,24.31,0.762089
551,24828594,135439902,1,25,24.24,0.469118
552,24791268,2374706,1,25,24.24,0.505399
553,14727676,4169206,1,25,24.23,1.31983
554,26671534,135440086,1,25,24.23,0.349157
555,49680149,1516221,1,25,24.23,0.463232
556,17415101,2950564,1,25,24.23,1.34072
557,49645298,135478027,1,25,24.21,0.577597
558,14743435,9551854,1,25,24.18,1.08461
559,17432541,1345012,1,25,24.16,1.4695
560,17508699,3138755,1,25,24.15,1.25695
561,24834489,2769603,1,25,24.14,0.501657
562,4250151,135485412,1,25,24.14,0.728664
563,24833536,3604468,1,25,24.13,1.02784
564,26732007,16746203,1,25,24.1,1.86724
565,24789275,969982,1,25,24.09,0.799192
566,49667232,135473369,1,25,24.07,1.37076
567,17432223,2251346,1,25,24.06,0.962131
568,14738455,4208317,1,25,24,0.173047
569,49643595,2920952,1,25,24,0.214526
570,7970641,135449157,1,25,23.99,1.73766
571,14725435,1933179,1,25,23.94,1.09652
572,26671632,935724,1,25,23.88,0.543247
573,26725782,1885341,1,25,23.87,0.634766
574,17510110,16481195,1,25,23.81,1.82411
575,17504480,1098386,1,25,23.79,0.410524
576,24813235,1262919,1,25,23.78,0.865007
577,22401414,2472415,1,24,23.76,0.732505
578,26725831,135486010,1,24,23.75,0.840013
579,24779236,1452565,1,24,23.67,0.550453
580,11532888,10187,1,24,23.63,0.667096
581,47203249,23724341,1,24,23.6,1.83991
582,24841208,4372318,1,24,23.6,0.975214
583,17416387,2960231,1,24,23.59,0.669042
584,22402536,6218884,1,24,23.55,0.228854
585,49819229,1257066,1,24,23.54,2.17777
586,860690,661967,1,24,23.54,0.77828
587,46501026,23640943,1,24,23.49,0.287174
588,24802648,5457144,1,24,23.48,1.07248
589,51088974,2051169,1,24,23.47,2.09756
590,49641498,3136125,1,24,23.45,1.14771
591,24781177,9511427,1,24,23.43,1.22094
592,26726318,873296,1,24,23.42,1.24861
593,24822776,3340824,1,24,23.41,0.281226
594,26663912,16472035,1,24,23.4,0.774689
595,49671995,2740175,1,24,23.38,0.571059
596,49680824,4432459,1,24,23.37,1.46276
597,26732015,16746210,1,24,23.32,0.134079
598,17388187,856007,1,24,23.27,0.76732
599,49824404,24818748,1,24,23.26,0.238281
600,4258494,314836,1,24,23.26,1.50819
601,26663861,930136,1,24,23.25,0.743468
602,4250431,3244243,1,24,23.24,0.283267
603,14730621,1016780,1,24,23.24,2.09732
604,49728511,3146524,1,24,23.24,0.220671
